date,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,night1,night2,night3,night4,night5,night6,night7,night8,night9,night10,weather1,weather2,weather3,weather4,weather5,weather6,weather7,weather8,weather9,weather10
2024-05-15,18,18,13,14,20,21,23,17,11,18,5,8,2,4,7,10,9,5,6,8,Ясно,Облачно с прояснениями,Облачно с прояснениями,Ясно,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями
2024-05-16,18,19,11,15,21,23,18,17,10,13,5,9,3,3,8,10,8,5,4,5,Ясно,Облачно с прояснениями,Облачно с прояснениями,Ясно,Ясно,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями
2024-05-17,20,10,14,21,21,13,8,9,12,12,6,3,2,8,6,1,0,2,5,5,Ясно,Пасмурно,Ясно,Ясно,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями
2024-05-18,10,14,21,22,12,9,10,16,16,16,4,2,8,7,2,1,2,10,8,6,Небольшой дождь,Ясно,Ясно,Ясно,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями
2024-05-19,14,21,23,15,9,9,16,18,14,13,2,8,7,1,1,3,10,8,4,6,Ясно,Ясно,Ясно,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Ясно,Облачно с прояснениями,Облачно с прояснениями
2024-05-20,21,24,14,8,8,17,13,9,13,16,9,7,1,0,2,11,3,3,6,8,Ясно,Ясно,Небольшой дождь,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями,Облачно с прояснениями
2024-05-21,24,14,8,9,17,15,10,10,12,15,6,1,0,0,14,4,3,2,4,9,Ясно,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями
2024-05-22,14,9,8,22,12,11,11,15,20,21,1,0,2,12,3,5,4,8,10,12,Небольшой дождь,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями
2024-05-23,8,10,24,11,11,17,12,15,18,23,0,4,11,2,7,7,3,6,8,11,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Ясно,Облачно с прояснениями,Облачно с прояснениями
2024-05-24,10,24,11,11,17,12,15,18,23,24,4,11,2,7,7,3,6,8,11,13,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Ясно,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями
