date,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,night1,night2,night3,night4,night5,night6,night7,night8,night9,night10,weather1,weather2,weather3,weather4,weather5,weather6,weather7,weather8,weather9,weather10
2024-05-15,9,21,20,19,20,21,20,17,18,20,7,8,13,9,8,9,12,9,7,9,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Ясно,Ясно,Ясно,Небольшой дождь,Ясно,Ясно,Облачно с прояснениями
2024-05-16,20,21,20,21,21,21,21,17,15,16,5,14,9,9,11,12,12,12,6,7,Облачно с прояснениями,Небольшой дождь,Ясно,Ясно,Ясно,Небольшой дождь,Небольшой дождь,Дождь,Облачно с прояснениями,Облачно с прояснениями
2024-05-17,21,20,20,23,24,25,22,21,23,23,12,10,10,10,14,15,14,13,13,15,Дождь,Ясно,Ясно,Ясно,Небольшой дождь,Небольшой дождь,Дождь,Ясно,Облачно с прояснениями,Гроза
2024-05-18,20,20,23,23,23,21,21,23,21,17,10,10,11,14,14,13,13,14,14,12,Ясно,Ясно,Ясно,Гроза,Ясно,Ясно,Облачно с прояснениями,Облачно с прояснениями,Ясно,Дождь
2024-05-19,21,25,25,24,19,21,23,25,23,22,10,12,14,14,10,9,12,14,15,16,Ясно,Ясно,Гроза,Небольшой дождь,Ясно,Ясно,Ясно,Ясно,Облачно с прояснениями,Облачно
2024-05-20,25,24,23,20,23,25,24,24,20,19,11,15,14,10,11,13,16,15,12,12,Ясно,Гроза,Ясно,Ясно,Ясно,Ясно,Облачно с прояснениями,Ясно,Ясно,Ясно
2024-05-21,24,24,20,21,25,26,25,24,24,23,14,15,11,10,12,14,16,16,16,16,Небольшой дождь,Ясно,Ясно,Ясно,Ясно,Ясно,Ясно,Облачно,Облачно с прояснениями,Облачно
2024-05-22,24,21,23,24,27,24,25,26,24,25,12,11,11,13,14,16,16,17,18,17,Ясно,Ясно,Ясно,Ясно,Облачно с прояснениями,Ясно,Ясно,Облачно с прояснениями,Пасмурно,Облачно с прояснениями
2024-05-23,20,22,24,22,23,26,26,27,28,27,10,9,13,15,13,14,16,17,19,20,Ясно,Ясно,Ясно,Небольшой дождь,Ясно,Ясно,Облачно с прояснениями,Облачно с прояснениями,Ясно,Ясно
2024-05-24,22,24,22,23,26,26,27,28,27,26,9,13,15,13,14,16,17,19,20,18,Ясно,Ясно,Небольшой дождь,Ясно,Ясно,Облачно с прояснениями,Облачно с прояснениями,Ясно,Ясно,Гроза
2024-05-25,24,23,24,26,28,28,28,25,27,23,11,15,12,14,16,18,17,18,19,19,Ясно,Гроза,Ясно,Ясно,Ясно,Ясно,Облачно с прояснениями,Гроза,Небольшой дождь,Небольшой дождь
2024-05-26,23,23,27,28,29,29,26,28,27,29,15,11,15,18,19,19,19,19,20,20,Дождь,Ясно,Ясно,Ясно,Небольшой дождь,Небольшой дождь,Гроза,Гроза,Гроза,Небольшой дождь
2024-05-27,23,27,28,29,29,26,28,27,29,25,11,15,18,19,19,19,19,20,20,17,Ясно,Ясно,Ясно,Небольшой дождь,Небольшой дождь,Гроза,Гроза,Гроза,Небольшой дождь,Гроза
2024-05-28,26,28,29,29,25,27,27,26,24,24,11,17,19,18,18,18,20,19,17,15,Ясно,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Дождь,Небольшой дождь,Небольшой дождь,Дождь,Гроза,Облачно с прояснениями
2024-05-29,29,29,30,26,28,27,24,24,23,17,14,19,20,20,18,19,18,19,17,10,Облачно с прояснениями,Ясно,Облачно с прояснениями,Небольшой дождь,Небольшой дождь,Небольшой дождь,Дождь,Гроза,Гроза,Облачно
2024-05-30,29,30,26,28,27,24,24,23,17,21,18,19,19,17,19,18,19,17,10,12,Небольшой дождь,Облачно с прояснениями,Небольшой дождь,Небольшой дождь,Небольшой дождь,Дождь,Гроза,Гроза,Облачно,Облачно с прояснениями
2024-05-31,29,29,28,25,25,27,25,24,20,19,16,20,18,19,19,19,18,17,16,13,Гроза,Гроза,Небольшой дождь,Гроза,Дождь,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями
2024-06-01,30,26,25,25,28,25,20,21,22,18,16,18,19,18,19,20,17,16,13,12,Облачно с прояснениями,Небольшой дождь,Гроза,Дождь,Облачно с прояснениями,Гроза,Дождь,Небольшой дождь,Облачно с прояснениями,Облачно
2024-06-02,27,24,23,28,27,22,22,25,26,23,17,19,17,18,21,18,15,15,19,14,Небольшой дождь,Небольшой дождь,Гроза,Облачно с прояснениями,Гроза,Дождь,Облачно с прояснениями,Облачно с прояснениями,Гроза,Облачно
2024-06-03,25,24,27,27,26,26,25,23,21,23,18,18,19,20,20,18,15,17,14,15,Гроза,Небольшой дождь,Облачно с прояснениями,Небольшой дождь,Дождь,Ясно,Небольшой дождь,Дождь,Облачно с прояснениями,Облачно
2024-06-04,25,28,28,25,25,26,24,24,22,20,15,18,21,20,18,18,18,18,15,14,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Ясно,Небольшой дождь,Небольшой дождь,Облачно,Небольшой дождь,Небольшой дождь
2024-06-05,29,27,24,25,26,24,25,28,23,22,16,21,20,17,16,19,19,20,16,14,Облачно с прояснениями,Гроза,Дождь,Облачно с прояснениями,Небольшой дождь,Небольшой дождь,Дождь,Гроза,Дождь,Небольшой дождь
2024-06-06,26,23,23,25,25,26,25,22,25,21,15,19,16,16,18,18,18,19,17,14,Гроза,Дождь,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Дождь,Дождь,Дождь,Гроза,Небольшой дождь
2024-06-07,23,24,24,27,26,23,27,27,25,23,16,16,16,17,19,19,18,21,19,16,Небольшой дождь,Облачно с прояснениями,Небольшой дождь,Дождь,Дождь,Гроза,Небольшой дождь,Гроза,Дождь,Небольшой дождь
2024-06-08,23,23,25,26,25,27,23,24,27,31,15,16,17,19,18,19,18,17,16,20,Облачно с прояснениями,Небольшой дождь,Небольшой дождь,Дождь,Дождь,Дождь,Ливень,Дождь,Небольшой дождь,Небольшой дождь
2024-06-09,22,24,26,26,21,24,26,26,25,29,13,17,19,20,19,17,17,18,18,18,Небольшой дождь,Небольшой дождь,Дождь,Ливень,Ливень,Облачно,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно
