time,Среднняя t,Минимальная t,Максимальная t,Суточная сумма осадков,Глубина снега,Скорость ветра,Среднее давление hPa,Относительная влажность в %
2019-05-24,13.6,8.9,17.5,0.0,0.0,4.7,1012.7,64.125
2019-05-25,15.6,11.8,18.9,0.3,0.0,4.6,1010.2,56.625
2019-05-26,18.1,14.3,23.6,0.0,0.0,2.4,1004.7,62.375
2019-05-27,16.7,12.5,21.2,0.0,0.0,4.7,1008.5,52.5
2019-05-28,22.0,15.9,28.4,0.0,0.0,2.9,1014.1,48.25
2019-05-29,23.0,18.4,29.4,0.0,0.0,3.8,1016.0,46.0
2019-05-30,21.8,18.7,28.5,1.3,0.0,3.3,1017.6,58.375
2019-05-31,18.4,15.2,23.8,0.7,0.0,3.0,1017.9,77.125
2019-06-01,17.9,13.6,22.5,0.0,0.0,4.3,1017.1,60.75
2019-06-02,18.9,9.7,26.0,0.0,0.0,2.4,1016.1,60.0
2019-06-03,17.3,14.0,21.5,0.0,0.0,6.0,1017.4,54.375
2019-06-04,17.1,8.3,24.3,0.0,0.0,2.1,1024.5,48.375
2019-06-05,19.9,10.5,26.7,0.0,0.0,2.0,1024.1,45.875
2019-06-06,22.3,12.6,29.3,0.0,0.0,1.9,1023.3,50.5
2019-06-07,24.0,14.2,30.9,0.0,0.0,1.7,1023.1,47.625
2019-06-08,24.8,16.8,30.9,0.0,0.0,1.7,1023.2,50.5
2019-06-09,25.2,17.1,31.2,0.0,0.0,1.7,1022.5,54.375
2019-06-10,23.1,18.1,27.1,0.0,0.0,3.5,1021.7,58.875
2019-06-11,22.6,15.2,28.0,0.0,0.0,3.0,1021.7,53.25
2019-06-12,20.0,14.7,24.4,0.0,0.0,3.3,1019.6,56.625
2019-06-13,15.1,9.3,20.2,0.0,0.0,4.9,1026.4,44.375
2019-06-14,17.4,10.5,21.2,10.8,0.0,2.3,1019.0,66.25
2019-06-15,16.7,13.1,20.6,0.0,0.0,3.2,1015.1,77.875
2019-06-16,17.5,12.8,22.1,0.8,0.0,3.8,1014.6,75.625
2019-06-17,20.1,12.0,26.6,0.0,0.0,2.3,1014.4,59.625
2019-06-18,21.6,17.6,26.2,0.7,0.0,3.7,1013.1,61.0
2019-06-19,22.3,15.3,27.4,0.0,0.0,4.0,1015.9,45.375
2019-06-20,23.6,16.7,30.0,0.0,0.0,1.8,1016.8,46.875
2019-06-21,24.5,17.0,30.2,0.0,0.0,1.8,1016.8,48.875
2019-06-22,25.1,20.0,30.7,0.0,0.0,3.0,1015.4,53.375
2019-06-23,21.6,18.9,26.1,0.0,0.0,6.0,1019.7,58.625
2019-06-24,20.6,16.4,24.8,0.0,0.0,6.3,1022.4,41.75
2019-06-25,18.8,12.7,22.6,0.0,0.0,5.9,1026.8,43.375
2019-06-26,17.3,13.6,22.0,3.5,0.0,1.9,1022.4,66.75
2019-06-27,15.0,12.3,15.7,17.0,0.0,3.9,1006.5,91.625
2019-06-28,12.8,10.7,14.8,25.1,0.0,6.5,991.8,94.625
2019-06-29,10.9,9.0,12.0,4.7,0.0,8.4,999.1,84.5
2019-06-30,15.1,9.2,20.5,1.6,0.0,3.4,1006.9,71.5
2019-07-01,19.7,10.8,25.6,0.0,0.0,2.2,1005.1,70.75
2019-07-02,19.3,16.6,22.1,0.0,0.0,4.4,1002.5,64.875
2019-07-03,16.1,13.1,18.5,0.0,0.0,4.0,1004.1,73.125
2019-07-04,13.9,10.8,17.1,0.0,0.0,6.5,1007.3,61.875
2019-07-05,15.2,10.8,19.3,0.0,0.0,3.7,1007.5,60.625
2019-07-06,14.6,12.2,18.5,0.0,0.0,3.1,1000.6,68.0
2019-07-07,14.5,10.6,19.1,0.0,0.0,3.0,1001.6,69.5
2019-07-08,16.7,11.9,21.8,0.0,0.0,1.9,1002.0,68.25
2019-07-09,16.7,11.5,21.8,0.0,0.0,2.7,1000.8,64.5
2019-07-10,15.7,13.0,18.9,0.0,0.0,2.8,998.6,73.75
2019-07-11,14.4,12.7,17.1,0.0,0.0,3.4,1001.7,82.625
2019-07-12,12.6,11.0,15.4,0.0,0.0,3.0,1007.2,82.875
2019-07-13,14.3,10.9,18.3,0.0,0.0,2.2,1009.2,70.0
2019-07-14,15.4,10.6,19.9,0.0,0.0,1.3,1011.2,72.75
2019-07-15,16.1,11.6,19.8,0.0,0.0,1.3,1011.4,70.25
2019-07-16,16.2,10.9,21.0,0.0,0.0,2.2,1010.7,80.125
2019-07-17,16.8,14.7,19.9,0.0,0.0,2.0,1007.6,91.25
2019-07-18,17.6,14.6,21.5,9.9,0.0,2.2,1004.5,83.0
